chord_symbol,voice_index,note_name,midi
A,0,A3,57
A,1,C#4,61
A,2,E4,64
A#,0,A#3,58
A#,1,D4,62
A#,2,F4,65
A#/D,0,D3,50
A#/D,1,F3,53
A#/D,2,A#3,58
A#/F,0,F3,53
A#/F,1,A#3,58
A#/F,2,D4,62
A#11,0,A#3,58
A#11,1,D4,62
A#11,2,F4,65
A#11,3,G#4,68
A#11,4,C5,72
A#11,5,D#5,75
A#13,0,A#3,58
A#13,1,D4,62
A#13,2,F4,65
A#13,3,G#4,68
A#13,4,C5,72
A#13,5,D#5,75
A#13,6,F#5,78
A#13#11,0,A#3,58
A#13#11,1,D4,62
A#13#11,2,F4,65
A#13#11,3,G#4,68
A#13#11,4,C5,72
A#13#11,5,E5,76
A#13#11,6,F#5,78
A#13#9,0,A#3,58
A#13#9,1,D4,62
A#13#9,2,F4,65
A#13#9,3,G#4,68
A#13#9,4,C#5,73
A#13#9,5,D#5,75
A#13#9,6,F#5,78
A#13b9,0,A#3,58
A#13b9,1,D4,62
A#13b9,2,F4,65
A#13b9,3,G#4,68
A#13b9,4,B4,71
A#13b9,5,D#5,75
A#13b9,6,F#5,78
A#13sus4,0,A#3,58
A#13sus4,1,E4,64
A#13sus4,2,F4,65
A#13sus4,3,G#4,68
A#13sus4,4,C5,72
A#13sus4,5,D#5,75
A#13sus4,6,F#5,78
A#6,0,A#3,58
A#6,1,D4,62
A#6,2,F4,65
A#6,3,G4,67
A#7,0,A#3,58
A#7,1,D4,62
A#7,2,F4,65
A#7,3,G#4,68
A#7#5#9,0,A#3,58
A#7#5#9,1,D4,62
A#7#5#9,2,F#4,66
A#7#5#9,3,G#4,68
A#7#5#9,4,C#5,73
A#7alt,0,A#3,58
A#7alt,1,D4,62
A#7alt,2,E4,64
A#7alt,3,G#4,68
A#7alt,4,Bb4,70
A#7alt,5,Db5,73
A#7sus2,0,A#3,58
A#7sus2,1,C5,72
A#7sus2,2,F4,65
A#7sus2,3,G#4,68
A#7sus4,0,A#3,58
A#7sus4,1,E4,64
A#7sus4,2,F4,65
A#7sus4,3,G#4,68
A#9,0,A#3,58
A#9,1,D4,62
A#9,2,F4,65
A#9,3,G#4,68
A#9,4,C5,72
A#9#5,0,A#3,58
A#9#5,1,D4,62
A#9#5,2,F#4,66
A#9#5,3,G#4,68
A#9#5,4,C5,72
A#9b5,0,A#3,58
A#9b5,1,D4,62
A#9b5,2,E4,64
A#9b5,3,G#4,68
A#9b5,4,C5,72
A#Maj7,0,A#3,58
A#Maj7,1,D4,62
A#Maj7,2,F4,65
A#Maj7,3,A4,69
A#aug,0,A#3,58
A#aug,1,D4,62
A#aug,2,F#4,66
A#aug7,0,A#3,58
A#aug7,1,D4,62
A#aug7,2,F#4,66
A#aug7,3,G#4,68
A#dim,0,A#3,58
A#dim,1,C#4,61
A#dim,2,E4,64
A#dim7,0,A#3,58
A#dim7,1,C#4,61
A#dim7,2,E4,64
A#dim7,3,G4,67
A#m,0,A#3,58
A#m,1,C#4,61
A#m,2,F4,65
A#m11,0,A#3,58
A#m11,1,C#4,61
A#m11,2,F4,65
A#m11,3,G#4,68
A#m11,4,C5,72
A#m11,5,D#5,75
A#m13,0,A#3,58
A#m13,1,C#4,61
A#m13,2,F4,65
A#m13,3,G#4,68
A#m13,4,C5,72
A#m13,5,D#5,75
A#m13,6,F#5,78
A#m6,0,A#3,58
A#m6,1,C#4,61
A#m6,2,F4,65
A#m6,3,G4,67
A#m7,0,A#3,58
A#m7,1,C#4,61
A#m7,2,F4,65
A#m7,3,G#4,68
A#m7b5,0,A#3,58
A#m7b5,1,C#4,61
A#m7b5,2,E4,64
A#m7b5,3,G#4,68
A#m9,0,A#3,58
A#m9,1,C#4,61
A#m9,2,F4,65
A#m9,3,G#4,68
A#m9,4,C5,72
A#mMaj7,0,A#3,58
A#mMaj7,1,C#4,61
A#mMaj7,2,F4,65
A#mMaj7,3,A4,69
A#maj11,0,A#3,58
A#maj11,1,D4,62
A#maj11,2,F4,65
A#maj11,3,A4,69
A#maj11,4,C5,72
A#maj11,5,D#5,75
A#maj13,0,A#3,58
A#maj13,1,D4,62
A#maj13,2,F4,65
A#maj13,3,A4,69
A#maj13,4,C5,72
A#maj13,5,D#5,75
A#maj13,6,F#5,78
A#maj13#11,0,A#3,58
A#maj13#11,1,D4,62
A#maj13#11,2,F4,65
A#maj13#11,3,A4,69
A#maj13#11,4,C5,72
A#maj13#11,5,D#5,75
A#maj13#11,6,F#5,78
A#maj7#11,0,A#3,58
A#maj7#11,1,D4,62
A#maj7#11,2,F4,65
A#maj7#11,3,A4,69
A#maj7#11,4,E5,76
A#maj9,0,A#3,58
A#maj9,1,D4,62
A#maj9,2,F4,65
A#maj9,3,A4,69
A#maj9,4,C5,72
A#maj9#11,0,A#3,58
A#maj9#11,1,D4,62
A#maj9#11,2,F4,65
A#maj9#11,3,A4,69
A#maj9#11,4,C5,72
A#maj9#11,5,E5,76
A#sus2,0,A#3,58
A#sus2,1,C5,72
A#sus2,2,F4,65
A#sus4,0,A#3,58
A#sus4,1,E4,64
A#sus4,2,F4,65
A/C#,0,C#3,49
A/C#,1,E3,52
A/C#,2,A4,69
