kind,cycle,bar,root,chord_midis,chord_notes,melody_qn_midis,melody_qn_notes
E1,E1,1,C,48|52|55|59,C3|E3|G3|B3,59|60|61|61,B3|C4|C#4|C#4
E1,E1,2,C#,48|53|56|61,C3|F3|Ab3|C#4,61|62|62|62,C#4|D4|D4|D4
E1,E1,3,D,49|54|57|62,C#3|F#3|A3|D4,62|63|63|63,D4|Eb4|Eb4|Eb4
E1,E1,4,D#,50|55|58|63,D3|G3|Bb3|Eb4,63|64|64|64,Eb4|E4|E4|E4
E1,E1,5,E,51|56|59|64,Eb3|Ab3|B3|E4,64|65|65|65,E4|F4|F4|F4
E1,E1,6,F,52|57|60|65,E3|A3|C4|F4,65|66|66|66,F4|F#4|F#4|F#4
E1,E1,7,F#,53|58|61|66,F3|Bb3|C#4|F#4,66|67|67|67,F#4|G4|G4|G4
E1,E1,8,G,54|59|62|67,F#3|B3|D4|G4,67|68|68|68,G4|Ab4|Ab4|Ab4
E1,E1,9,G#,55|60|63|68,G3|C4|Eb4|Ab4,68|69|69|69,Ab4|A4|A4|A4
E1,E1,10,A,56|61|64|69,Ab3|C#4|E4|A4,69|70|70|70,A4|Bb4|Bb4|Bb4
E1,E1,11,A#,57|62|65|70,A3|D4|F4|Bb4,70|71|71|71,Bb4|B4|B4|B4
E1,E1,12,B,58|63|66|71,Bb3|Eb4|F#4|B4,71|71|71|71,B4|B4|B4|B4
